Actions,WIID,Description,Type,Status,Date
,68077905,Research Client Check Copy,WI2,Open,2020-07-14
,68077862,Process Vendor Invoice,WI3,Open,2020-12-24
,68077849,Generate Yearly Report for Vendor,WI4,Open,2021-02-06
,68077902,Research Client Check Copy,WI2,Open,2018-10-02
,68077835,Calculate Client Security Hash,WI5,Open,2017-11-08
,68077872,Research Client Check Copy,WI2,Open,2018-04-08
,68077899,Research Client Check Copy,WI2,Open,2018-06-12
,68077892,Research Client Check Copy,WI2,Open,2020-02-10
,68077886,Research Client Check Copy,WI2,Open,2020-05-29
,68077853,Generate Yearly Report for Vendor,WI4,Open,2018-12-19
,68077855,Generate Yearly Report for Vendor,WI4,Open,2018-08-22
,68077859,Process Vendor Invoice,WI3,Open,2019-01-13
,68077865,Process Vendor Invoice,WI3,Open,2019-07-18
,68077841,Generate Yearly Report for Vendor,WI4,Open,2021-02-07
,68077842,Generate Yearly Report for Vendor,WI4,Open,2019-02-14
,68077910,Verify Account Position,WI1,Open,2020-08-28
,68077898,Research Client Check Copy,WI2,Open,2020-12-21
,68077889,Research Client Check Copy,WI2,Open,2019-02-09
,68077870,Process Vendor Invoice,WI3,Open,2020-04-09
